"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"LY1021004182",0.6599999999999999,0.7466666666666668,0.8825000000000001,0.7633333333333333,3,1,252,100,"Homme",36,"Libye","Niger","No","Yes","No","No","No","No","Unknown"
"LY1021004185",0.7675,0.6683333333333333,0.9574999999999999,0.8241666666666667,26,1,225,129,"Homme",34,"Libye","Niger","No","Yes","No","No","No","No","KND"
"LY1021004188",0.6375,0.8483333333333334,0.9449999999999998,0.8166666666666668,24,1,222,130,"Homme",28,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021004196",0.795,0.8316666666666667,0.8249999999999998,0.7283333333333336,30,0,0,0,"Homme",38,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Ly1021004197",0.5875,0.46249999999999997,0.6349999999999999,0.5350000000000001,2,0,0,0,"Homme",36,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Ly1021004200",0.5125,0.7075,0.7225,0.6075000000000002,36,0,0,0,"Homme",30,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021004203",0.625,0.6783333333333333,0.7625,0.7141666666666666,36,1,252,102,"Homme",29,"Libye","Niger","No","Yes","No","No","No","No","Unknown"
"LY1021004204",0.4725,0.6875,0.855,0.7,5,1,222,134,"Homme",30,"Libye","Tchad","No","Yes","No","No","No","No","KND"
"Ly1021004205",0.6349999999999999,0.7275,0.7599999999999999,0.6850000000000002,24,0,0,0,"Homme",25,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021004206",0.7899999999999999,0.7500000000000002,0.9624999999999999,0.8175000000000001,3,1,219,133,"Homme",41,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021004213",0.565,0.7583333333333333,0.8949999999999999,0.7391666666666667,5,0,0,0,"Femme",21,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021004215",0.7575,0.78,0.9874999999999999,0.8300000000000002,18,1,253,101,"Homme",41,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021004228",0.6875,0.6266666666666666,0.8099999999999999,0.7233333333333334,36,0,0,0,"Homme",24,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021004229",0.815,0.73,0.9125,0.7975000000000001,48,1,251,101,"Homme",46,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021004232",0.525,0.5266666666666667,0.655,0.5633333333333334,48,0,0,0,"Homme",36,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Ly1021004235",0.7424999999999999,0.6533333333333333,0.5924999999999999,0.6416666666666667,2,0,0,0,"Homme",32,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021004236",0.815,0.8083333333333335,0.9874999999999999,0.8541666666666669,30,1,219,135,"Homme",35,"Libye","Niger","No","Yes","No","No","No","No","Unknown"
"LY1021004239",0.3675,0.6633333333333333,0.9874999999999999,0.6866666666666668,13,1,219,137,"Homme",31,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021004279",0.5575,0.6375,0.8099999999999999,0.6275000000000002,18,0,0,0,"Homme",19,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
