ID_1,InterviewDate,InterviewType,BusinessSucess,BusinessProfitability,WouldMigrateAgain,SituationWithoutSupport,ReturningWasGoodDecision,SatisfiedWithReintegrationSupport,Country,CountryOfReturn,Gender,AgeGroup,MigrationDuration,Disabled,ReceivedSupportAs,BusinessType,BusinessMembers,ReceivedIOMBusinessAdvice,BusinessHasEmployees,EmployeeNumber,CoronaImpactOnBusiness,FirstChoice,MicroBusinessLevel,TrainingType,TrainingDuration,DateOfReturn,ReintegrationDate,Gender_Mimosa,AgeAtReferral_Mimosa,ReturnToReintegration
MA1021003397,2022-04-07,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Féminin,36-65 ans,5,Non,En nature,Restauration,Moi et membres de la communauté,Oui,Oui,2,Non,Oui,NA,NA,NA,2021-09-09T00:00:00Z,2021-12-04T00:00:00Z,Female,1,86
NA,2022-03-14,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,17,Non,En nature,Aviculture,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-04-25,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Gambie,Algerie,Masculin,18-35 ans,3,Non,En nature,Couture,Moi uniquement,Non,Oui,2,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-04-25,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Satisfait,Gambie,Algerie,Masculin,18-35 ans,2,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-10,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Souhaite ne pas répondre,Non,Pire,Oui,Très satisfait,Burkina Faso,Lybie,Masculin,+65 ans,30,Non,Mixte,Elevage,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-11,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Burkina Faso,Lybie,Masculin,18-35 ans,4,Non,En espèces,Commerce,Moi uniquement,Non,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-17,Par téléphone,Fermée,Non,Non,Ne sait pas,Oui,OK,Gambie,Algerie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-18,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Satisfait,Gambie,Lybie,Masculin,18-35 ans,1,Non,En nature,Commerce,Moi et membres de la communauté,Oui,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-24,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Satisfait,Gambie,Algerie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Oui,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-24,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Ne sait pas,Oui,OK,Gambie,Algerie,Masculin,18-35 ans,3,Non,En nature,Elevage,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-24,Par téléphone,Fermée,Non,Non,Pire,Oui,Satisfait,Gambie,Algerie,Masculin,18-35 ans,2,Non,En nature,Bâtiment/construction,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-05-24,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Gambie,Algerie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi et membres de la communauté,Oui,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
TD1021001618,2022-05-27,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,18-35 ans,10,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,2021-11-25T00:00:00Z,2022-03-18T00:00:00Z,Male,4,113
TD1021001618,2022-05-27,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,18-35 ans,10,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Oui,Individual,NA,NA,2021-11-25T00:00:00Z,2022-03-18T00:00:00Z,Male,33,113
MR1021001601,2022-05-29,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Très satisfait,Sénégal,Mauritanie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2021-08-18T00:00:00Z,2022-04-30T00:00:00Z,Male,21,255
MR1021001601,2022-05-29,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Très satisfait,Sénégal,Mauritanie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2021-08-18T00:00:00Z,2022-04-30T00:00:00Z,Male,5,255
MR1021001601,2022-05-29,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Très satisfait,Sénégal,Mauritanie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2021-08-18T00:00:00Z,2022-04-30T00:00:00Z,Female,29,255
MR1021001601,2022-05-29,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Très satisfait,Sénégal,Mauritanie,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2021-08-18T00:00:00Z,2022-04-30T00:00:00Z,Male,1,255
LY1021008993,2022-06-14,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Satisfait,Nigeria,Lybie,Féminin,18-35 ans,0,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,2021-11-24T00:00:00Z,2022-02-15T00:00:00Z,Female,0,83
LY1021008993,2022-06-14,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Satisfait,Nigeria,Lybie,Féminin,18-35 ans,0,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Oui,Individual,NA,TRUE,2021-11-24T00:00:00Z,2022-02-15T00:00:00Z,Female,31,83
