"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","VOTs","UMINOR","HealthCondition","CounsellingStatus","EconomicSupport","FinancialServices","JobPlacement","Microbusiness","Training","SocialSupport","ChildCare","Education","Housing","LegalServices","MaterialAssistance","MedicalSupport","SocialProtectionSchemes","PsychosocialSupport","Microbusinesslevel","MicrobusinessDeliveredBy","MicrobusinessFormOfAssistance"
"DZ1021007019",0.155,0.5258333333333333,0.4525,0.3366666666666666,"1",7,165,202.95833333333334,"Homme","21","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007029",0.8275,0.4491666666666667,0.9324999999999999,0.7508333333333334,"1",NA,436,-78.04166666666667,"Homme","27","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007045",0.215,0.44666666666666666,0.7675,0.4933333333333333,"3",3,108,243.95833333333334,"Femme","23","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007074",0.7925,0.7066666666666666,0.765,0.7858333333333334,"2",NA,49,265.9583333333333,"Homme","25","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1021007093",0.7775,0.25333333333333335,0.9025000000000001,0.6416666666666667,"2",NA,150,193.95833333333334,"Homme","28","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007276",0.7849999999999999,0.7450000000000001,0.9075,0.8250000000000002,"3",NA,149,202.95833333333334,"Homme","22","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007278",0.5275000000000001,0.5216666666666667,0.6725,0.5883333333333334,"1",2,191,162.95833333333334,"Homme","25","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007279",0.44999999999999996,0.5700000000000001,0.835,0.595,"1",NA,74,273.9583333333333,"Homme","20","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS"
"DZ1021007303",0.565,0.3916666666666667,0.61,0.4933333333333335,"2",NA,143,202.95833333333334,"Homme","23","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1021007814",0.865,0.7125000000000001,0.84,0.8300000000000003,"3",0,184,79.95833333333333,"Homme","39","Algérie","Niger","No","No","No","Not Requested","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1021007827",0.8574999999999999,0.6725000000000001,0.7324999999999999,0.7025000000000001,"3",NA,211,141.95833333333334,"Homme","30","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ102107F17DFA068E",0.8624999999999999,0.6225,0.6975,0.7275,"6",6,121,137.95833333333334,"Homme","25","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ10212F261AE738CF",0.37749999999999995,0.6825000000000001,0.8875,0.6300000000000001,"2",5,72,81.95833333333333,"Homme","28","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"DZ102131902281F0A4",0.255,0.56,0.6224999999999999,0.42000000000000004,"9",NA,84,222.95833333333334,"Homme","32","Algérie","Senegal","No","No","No","Completed","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ10213E5004660D8A",0.485,0.44499999999999995,0.59,0.545,"4",10,39,262.9583333333333,"Homme","36","Libye","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ10213EF2D13699A8",0.7124999999999999,0.5566666666666666,0.8274999999999999,0.7183333333333335,"3",6,149,136.95833333333334,"Homme","21","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ102142343A0BBE6F",0.4575,0.4533333333333333,0.8775,0.6191666666666668,"6",5,127,109.95833333333333,"Homme","26","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Individual","IOM Direct Assistance","KND"
"DZ10214B6283D9E13B",0.35000000000000003,0.4216666666666667,0.42999999999999994,0.36333333333333334,"3",NA,140,161.95833333333334,"Homme","45","Algérie","Senegal","No","No","No","Completed","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","Referral","KND"
