"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","VOTs","UMINOR","HealthCondition","CounsellingStatus","EconomicSupport","FinancialServices","JobPlacement","Microbusiness","Training","SocialSupport","ChildCare","Education","Housing","LegalServices","MaterialAssistance","MedicalSupport","SocialProtectionSchemes","PsychosocialSupport","Microbusinesslevel","MicrobusinessDeliveredBy","MicrobusinessFormOfAssistance"
"GM1022001164",0.645,0.6433333333333333,0.9999999999999999,0.7841666666666669,"5",NA,62,91.95833333333333,"Homme","36","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001170",0.35250000000000004,0.6441666666666667,0.5425,0.5283333333333333,"8",NA,43,109.95833333333333,"Homme","27","Allemagne","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001174",0.49,0.56,0.8374999999999999,0.6075000000000002,"5",NA,27,127.95833333333333,"Homme","28","Allemagne","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"LY10022001879",0.865,0.7424999999999999,0.945,0.8675000000000003,"7",NA,NA,NA,"Homme","32","Libye","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LY1019003553",0.5225,0.6216666666666666,0.9999999999999999,0.7383333333333334,"12",NA,106,309.9583333333333,"Femme","51","Libye","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"LY1019007852",0.48750000000000004,0.5341666666666667,0.855,0.6508333333333334,"6",NA,55,329.9583333333333,"Homme","30","Libye","Cote d'ivoire","No","No","No","Completed","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
"LY1019007857",0.4075,0.6783333333333333,0.685,0.6316666666666667,"5",0,55,329.9583333333333,"Homme","31","Libye","Cote d'ivoire","No","No","No","Completed","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
"LY1019008021",0.8075,0.6216666666666666,0.9450000000000001,0.8208333333333336,"8",NA,184,232.95833333333334,"Homme","27","Libye","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","Referral","KND"
"LY1019DB2D3AFF1948",0.325,0.5650000000000001,0.7374999999999999,0.5149999999999999,"5",NA,74,327.9583333333333,"Homme","35","Libye","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","KND"
"LY1020001291",0.1175,0.4683333333333333,0.38749999999999996,0.32666666666666666,"5",NA,76,309.9583333333333,"Homme","30","Libye","Cote d'ivoire","No","No","Yes","Completed","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
