"MimosaID","Project","InterviewDate","ReintegrationDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TrainingStart","TrainingEnd","TimeToReceiveSupport","ReceivedSupportAs","BusinessType","BusinessMembers","MicroBusinessLevel","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","SupportDuration","TrainingDuration"
"GHTH08485","JI","2021/04/02 00:00:00","2020/02/02 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"Non","None",NA,NA,120,"En nature","Autre","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",425,0
"CH5017X032550","JI","2021/04/05 00:00:00","2020/02/02 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",6,"Non","None",NA,NA,120,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",428,0
"LY1020004376","JI","2021/04/20 00:00:00","2021/01/21 00:00:00","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","None",NA,NA,16,"En nature","Transport","Moi uniquement","Individual","Non","Non","0","Non","Oui",89,0
"CH5017X032467","JI","2021/04/02 00:00:00","2019/08/01 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","None",NA,NA,160,"En nature","Autre","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",610,0
"CH5018X008525","JI","2021/04/05 00:00:00","2019/08/01 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Non","None",NA,NA,90,"En nature","Autre","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",613,0
"CH5017X032505","JI","2021/04/05 00:00:00","2019/08/01 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"Non","None",NA,NA,108,"En nature","Autre","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",613,0
"CH5017X032541","JI","2021/04/06 00:00:00",NA,"Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"Non","None",NA,NA,107,"En nature","Autre","Moi et d'autres","Unknown","Non","Autre","1","Oui","Oui",120,0
"CH5017X032477","JI","2021/04/06 00:00:00","2021/07/01 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","None",NA,NA,109,"En nature","Autre","Moi et d'autres","Not individual","Non","Autre","1","Oui","Oui",120,0
"CH5017X032540","JI","2021/04/06 00:00:00",NA,"Par téléphone","High","High","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"Non","None",NA,NA,102,"En nature","Autre","Moi et d'autres","Unknown","Non","Autre","1","Oui","Oui",120,0
"NE1020X003751X1","JI","2021/07/23 00:00:00","2020/12/02 00:00:00","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",1,"Non","None",NA,NA,36,"Mixte","Autre","Moi uniquement","Individual","Non","Non","0","Non","Oui",233,0
"NE1019001331","JI","2021/05/20 00:00:00","2021/09/10 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"Non","None",NA,NA,50,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",120,0
"NE1019X001403","JI","2021/05/20 00:00:00","2021/09/10 00:00:00","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"Non","None",NA,NA,52,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Non",120,0
"CH5018X008561","JI","2021/04/23 00:00:00","2019/03/11 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",8,"Oui","None",NA,NA,70,"En nature","Autre","Moi uniquement","Individual","Non","Autre","1","Oui","Oui",774,0
"NE1019X018102X1","JI","2021/05/27 00:00:00","2019/01/21 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","14-35",0,"Non","Other/Unknown","2018/11/19 00:00:00","2018/11/19 00:00:00",24,"En nature","Elevage","Moi uniquement","Not individual","Oui","Non","0","Oui","Oui",857,0
"CH5017X008663","JI","2021/05/28 00:00:00","2020/12/08 00:00:00","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36+",2,"Non","Other/Unknown","2019/12/20 00:00:00","2019/12/22 00:00:00",16,"En nature","Elevage","Moi uniquement","Individual","Non","Non","0","Non","Oui",171,2
"NE1019X03921010X1","JI","2021/05/28 00:00:00",NA,"Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Oui","None",NA,NA,29,"En nature","Elevage","Moi uniquement","Unknown","Oui","Non","0","Non","Non",120,0
"CH5018X008599","JI","2021/06/01 00:00:00","2020/12/10 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",5,"Non","None",NA,NA,132,"En nature","Elevage","Moi et d'autres","Not individual","Non","Autre","1","Non","Oui",173,0
"CH5018X008598","JI","2021/06/01 00:00:00","2020/12/10 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","None",NA,NA,132,"En nature","Elevage","Moi et d'autres","Not individual","Non","Autre","1","Non","Oui",173,0
"CH5018X008597","JI","2021/06/01 00:00:00","2020/12/10 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"Non","None",NA,NA,132,"En nature","Elevage","Moi et d'autres","Not individual","Non","Autre","1","Non","Oui",173,0
"CH5018X008596","JI","2021/06/01 00:00:00","2020/12/10 00:00:00","Par téléphone","High","Low","No","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","None",NA,NA,132,"En nature","Elevage","Moi et d'autres","Not individual","Non","Autre","1","Non","Oui",173,0
"MA1020003407","JI","2021/05/25 00:00:00","2020/12/31 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",4,"Non","None",NA,NA,4,"En espèces","Commerce","Moi uniquement","Individual","Oui","Non","0","Non","Oui",145,0
"TN1020001021","JI","2021/05/25 00:00:00","2021/01/28 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",3,"Non","None",NA,NA,40,"En espèces","Elevage","Moi uniquement","Individual","Non","Autre","1","Non","Oui",117,0
"TN1019001296","JI","2021/05/25 00:00:00","2020/07/27 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",2,"Non","None",NA,NA,18,"En espèces","Commerce","Moi uniquement","Individual","Non","Non","0","Non","Oui",302,0
